Role,Company,Location,Duration,Posted,Skills,Applicants,est_stipend,Gender
Content Writing,NoBroker,Bangalore,3 Months,2 weeks ago,"Blogging, Creative Writing, English Proficiency (Written), Search Engine Optimization (SEO)",105,5000,Any
Marketing,Thomas Cook,Mumbai,3 Months,2 weeks ago,"Automation, Client Interaction, Marketing Automation, Marketing Campaigns",46,6500,Any
Marketing,Thomas Cook,E,3 Months,2 weeks ago,"Automation, Client Interaction, Marketing Automation, Marketing Campaigns",46,6500,Any
Marketing,Puja Gupta,Kanpur,2 Months,2 weeks ago,Social Media Marketing,35,0,Any
Web Development,Ghar Pe Shiksha,Delhi,4 Months,2 weeks ago,"Axios, Bootstrap, CSS, HTML, JavaScript, jQuery, Next.js, React, Redux, REST API, Tailwind CSS, UI & UX Design, User Interface (UI) Development",1000,10000,Any
Video Making/Editing,Aster DM Healthcare,Bangalore,6 Months,2 weeks ago,"Adobe Illustrator, Adobe Photoshop, Animation, Attention to Detail, Canva, Color Correction, CorelDRAW, Effective Communication, Graphic Design, Motion Graphics, Time Management, Video Editing",68,10000,Any
Sales,Halma,Mumbai,6 Months,2 weeks ago,Effective Communication,30,0,Any
Product Design,Scaler,Bangalore,6 Months,2 weeks ago,"Figma, UI & UX Design, Visual Design",961,32500,Any
Business Development,Scaler,Bangalore,3 Months,2 weeks ago,"B2B Sales, Effective Communication, Sales",1000,22500,Any
Creative Design,Waaree Energies Ltd.,Mumbai,2 Months,3 weeks ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, UI & UX Design",105,7500,Any
Sales,Times Internet,Noida,6 Months,3 weeks ago,"Effective Communication, MS-Excel",226,9500,Any
Company Secretary (CS),Motherhood Hospital,Bangalore,24 Months,3 weeks ago,"Financial Reporting, GST",0,11500,Any
Sales,ILux Electricals,Thane,3 Months,3 weeks ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing",59,11000,Any
Market Research,CollegeDekho.com,Gurgaon,2 Months,3 weeks ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Word",818,0,Any
Sales,Unacademy (Sorting Hat Technologies Pvt. Ltd.),Bangalore,3 Months,3 weeks ago,"Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Sales",58,19000,Any
Sales,Halma,Mumbai,6 Months,3 weeks ago,"Effective Communication, Interpersonal skills, MS-Excel",80,10000,Any
HR,Audi Mumbai West,Mumbai,6 Months,3 weeks ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word, Time Management",1000,12000,Any
