Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Marketing Automation Executive,Thomas Cook,"Mumbai, E","₹ 5,000 - 8,000 /month",3 Months,2 weeks ago,,"Automation
Client Interaction
Marketing Automation
Marketing Campaigns",46 applicants
Content and Social Media Marketing,Puja Gupta,Kanpur                                                                (Hybrid),Unpaid,2 Months,2 weeks ago,,Social Media Marketing,35 applicants
Computational Physics/Chemistry/Materials Science,Bhabha Atomic Research Centre (BARC),Mumbai,"₹ 8,000 - 15,000 /month",4 Months,2 weeks ago,,"Chemistry
Physics",108 applicants
Front End Development,Ghar Pe Shiksha,Delhi,"₹ 10,000 /month",4 Months,2 weeks ago,,"Axios
Bootstrap
CSS
HTML
JavaScript
jQuery
Next.js
React
Redux
REST API
Tailwind CSS
UI & UX Design
User Interface (UI) Development",1000+ applicants
Digital Media Intern For Video Production,Aster DM Healthcare,Bangalore,"₹ 10,000 /month",6 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Animation
Attention to Detail
Canva
Color Correction
CorelDRAW
Effective Communication
Graphic Design
Motion Graphics
Time Management
Video Editing",68 applicants
Sales Apprentice,Halma,Mumbai,Unpaid,6 Months,2 weeks ago,,Effective Communication,30 applicants
Product Design,Scaler,Bangalore,"₹ 30,000 - 35,000 /month",6 Months,2 weeks ago,,"Figma
UI & UX Design
Visual Design",961 applicants
B2B Business Development,Scaler,Bangalore,"₹ 20,000 - 25,000 /month",3 Months,2 weeks ago,,"B2B Sales
Effective Communication
Sales",1000+ applicants
Creative Design,Waaree Energies Limited,Mumbai,"₹ 5,000 - 10,000 /month",2 Months,3 weeks ago,,"Adobe Creative Suite
Adobe Illustrator
Adobe Photoshop
UI & UX Design",105 applicants
Digital Ad Sales,Times Internet,Noida                                                                (Hybrid),"₹ 9,000 - 10,000 /month",6 Months,3 weeks ago,,"Effective Communication
MS-Excel",226 applicants
Hotel Management(Chef),Theobroma Foods Private Limited,Mumbai,"₹ 2,500 - 5,000 /month",6 Months,3 weeks ago,,Culinary Arts,54 applicants
