Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Business Development (Sales),Sphinx Media,"Delhi, Noida, Mathura                                                                (Hybrid)","₹ 2,000 - 8,000 /month",2 Months,2 weeks ago,,"Effective Communication
Lead Generation
Sales Strategy
Social Media Marketing",107 applicants
Content Writing,TickYourList,Work from home,"₹ 1,500 - 2,000 /month",3 Months,2 weeks ago,,"Blogging
Creative Writing
Digital Marketing
Search Engine Optimization (SEO)
Social Media Marketing",974 applicants
Digital Marketing,Renify Technologies Private Limited,Anekal,"₹ 15,000 /month",6 Months,2 weeks ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",198 applicants
Customer Acquisition,Unimonks,Work from home,"₹ 4,500 - 11,000 /month",3 Months,2 weeks ago,,"Email Marketing
English Proficiency (Spoken)
Marketing
Sales Strategy",279 applicants
Business Development (Sales),Khichad Consultancy,Sikar,"₹ 6,000 - 15,000 /month",3 Months,2 weeks ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)",Be an early applicant
Volunteering,Seetaram Foundation,Jaipur,Unpaid,1 Month,2 weeks ago,,"English Proficiency (Spoken)
Hindi Proficiency (Spoken)",Be an early applicant
Full Stack Development,Nobrokerage.com,Pune                                                                (Hybrid),"₹ 6,000 - 8,000 /month",6 Months,2 weeks ago,,"Bootstrap
CodeIgniter
CSS
HTML
JavaScript
Laravel
MySQL
PHP",1000+ applicants
Digital Marketing,CodeNicely Software Services LLP,Raipur,"₹ 5,000 - 15,000 /month",6 Months,2 weeks ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
Interpersonal skills
Search Engine Optimization (SEO)
Social Media Marketing",31 applicants
Content & E-Commerce Management,Woodling,Faridabad                                                                (Hybrid),"₹ 10,000 - 12,000 /month",3 Months,2 weeks ago,,"Collaboration
Coordination
E-commerce
English Proficiency (Spoken)
English Proficiency (Written)
Instagram Marketing
MS-Excel
MS-Word
Shopify
Social Media Marketing",102 applicants
Software Development,Aroma Ice Cream,Work from home,"₹ 15,000 - 20,000 /month",2 Months,2 weeks ago,,"Cursor (GenAI)
Data Visualization
Flutter
Vibe Coding",1000+ applicants
Graphic Design,199 Developments Private Limited,Ahmedabad,"₹ 6,000 - 8,000 /month",3 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Canva
CorelDRAW
UI & UX Design",26 applicants
Product Management,Mirraw Online Services Private Limited,Mumbai,"₹ 10,000 - 12,000 /month",6 Months,2 weeks ago,,"English Proficiency (Spoken)
Product Lifecycle Management(PLM)
Product Management",110 applicants
Sales and Marketing,CA Tushar Makkar,Work from home,"₹ 1,000 - 2,000 /month",3 Months,2 weeks ago,,"Cold Calling
Effective Communication
Google Sheets
Marketing
Sales
Time Management",148 applicants
Sales and Marketing,Tradexic,Vadodara,"₹ 4,500 - 7,500 /month",2 Months,2 weeks ago,,"Cold Calling
Leadership
Lead Generation
Sales Strategy
Sales Support",Be an early applicant
Human Resources (HR),Pehchaan AI Technologies,Kolkata,"₹ 8,000 - 10,000 /month",6 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",137 applicants
Business Research - Female,Zoomies,Pune,"₹ 15,000 /month",6 Months,2 weeks ago,,"Effective Communication
Google Sheets
Interviewing
MS-Excel
Qualitative Research
Quantitative Research
Self-learning",109 applicants
Video Editing/Making,Fithub Academy,Bangalore,"₹ 8,000 - 15,000 /month",3 Months,2 weeks ago,,"Adobe After Effects
Adobe Photoshop
Adobe Premiere Pro
Photography
Video Editing
Video Making",29 applicants
Graphic Design,Art India Foundation,Pune,"₹ 6,000 - 7,500 /month",6 Months,2 weeks ago,,"Adobe Creative Suite
Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Canva
Video Editing",27 applicants
Digital Marketing,Bezt Labs,Work from home,"₹ 1,000 - 3,000 /month",1 Month,2 weeks ago,,"LinkedIn Marketing
Social Media Marketing
Video Editing",906 applicants
Company Secretary (CS),RPAC,Mumbai,"₹ 7,000 - 8,000 /month",12 Months,2 weeks ago,,"MS-Office
MS-Word",Be an early applicant
Teaching,Help In Suffering,Jaipur,"₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,"Emotional intelligence
Public Speaking",Be an early applicant
Business Development (Sales),Alchemist Marketing Talent Solutions Private Limited,Mumbai,"₹ 7,000 - 10,000 /month",6 Months,2 weeks ago,,"Business Analysis
Cold Calling
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Logical reasoning
MS-Office
Multitasking",Be an early applicant
Operations,Abir Space,Ahmedabad,"₹ 5,000 - 8,000 /month",6 Months,2 weeks ago,,"Canva
Coordination
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-PowerPoint
MS-Word
Team Management
Teamwork",Be an early applicant
Graphic Design,Fictivebox Media,Noida,"₹ 8,000 - 12,000 /month",6 Months,2 weeks ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe Photoshop",199 applicants
Business Development (Sales),Eclassopedia,Work from home,"₹ 3,000 - 4,000 /month",4 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Sales
Sales Management",86 applicants
Business Development Teamlead(Exports),Matrix Exports,Bangalore,"₹ 17,000 - 22,000 /month",6 Months,2 weeks ago,,"Canva
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
MS-Office
Negotiation
Social Media Marketing
Time Management",110 applicants
Graphic Design,Framed,Kolkata,"₹ 15,000 - 30,000 /month",4 Months,2 weeks ago,,"Adobe Creative Suite
Canva
CorelDRAW
UI & UX Design",105 applicants
Sales and Marketing,Omkar Billa,Work from home,"₹ 1,000 - 2,000 /month",1 Month,2 weeks ago,,"Canva
Effective Communication
Google Sheets
Sales Management
Social Media Marketing",203 applicants
Sales and Marketing,Innomax IT Solutions Private Limited,Hyderabad,"₹ 7,000 - 10,000 /month",6 Months,2 weeks ago,,"Interpersonal skills
Microsoft 365
Sales",26 applicants
Social Media Marketing,Poonji Vidya Technologies Private Limited,Jaipur,"₹ 2,500 /month",3 Months,2 weeks ago,,"Graphic Design
Video Editing",Be an early applicant
Influencer Marketing,Coding Junior,Ahmedabad,"₹ 15,000 /month",6 Months,2 weeks ago,,"English Proficiency (Spoken)
Video Editing
Video Making",63 applicants
Graphic Design,Falcon Tech Solution,Hyderabad,"₹ 2,000 - 4,000 /month",6 Months,2 weeks ago,,"Adobe Illustrator
Adobe InDesign
Adobe Photoshop",Be an early applicant
Human Resources (HR),ProTechmanize Solutions Private Limited,Jodhpur,"₹ 7,000 - 10,000 /month",6 Months,2 weeks ago,,"Effective Communication
English Proficiency (Spoken)
Human Resources
MS-Excel",39 applicants
Film Production,Lateral Works Studio,Vasai-Virar,"₹ 8,000 - 10,000 /month",6 Months,2 weeks ago,,"Adobe After Effects
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Internet
MS-Office
Photography
Video Making",92 applicants
Content and Social Media Marketing,Minibreaks India Private Limited,"Delhi, Gurgaon                                                                (Hybrid)","₹ 5,000 - 7,000 /month",6 Months,2 weeks ago,,"Performance Marketing
Social Media Marketing
Video Editing",75 applicants
Market Research,Growcoms Private Limited,Kochi,"₹ 5,000 - 8,000 /month",3 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Marketing
Market research
MS-Office",34 applicants
Tele Counsellor,UC Global Study,"Faridabad, Delhi, Gurgaon, Greater Noida, Noida","₹ 10,000 - 14,000 /month",3 Months,2 weeks ago,,"Counseling
Sales
Sales Support",88 applicants
Interior Design,LN Designs Studio,Ajmer,"₹ 4,000 - 8,000 /month",6 Months,2 weeks ago,,"Adobe Photoshop
AutoCAD
Effective Communication
Interior design
Presentation skills",35 applicants
Business Development (Sales),Powerix Energy Services Private Limited,"Hyderabad, Bangalore","₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,"Effective Communication
MS-Excel
Presentation skills
Sales Management",91 applicants
Business Development (Sales),BizInfosoft,"Delhi, Gurgaon, Noida                                                                (Hybrid)","₹ 8,000 - 15,000 /month",3 Months,2 weeks ago,,"Client Relationship Management (CRM)
Effective Communication
English Proficiency (Written)
Finance
Hindi Proficiency (Spoken)
Lead Generation
MS-Excel
Sales
Sales Strategy
Stock Trading
Zoho CRM",177 applicants
Digital Marketing,GHANCHI MEDIA,Pune,"₹ 4,000 - 5,000 /month",6 Months,2 weeks ago,,"Computer skills
Content Editing
Digital Marketing
Email Marketing
Facebook Marketing
Instagram Marketing
Social Media Marketing
Video Editing",28 applicants
Architecture,Ansari Architects,Chennai,"₹ 3,000 - 5,000 /month",3 Months,2 weeks ago,,"Adobe Photoshop
Architectural Drafting
AutoCAD
Autodesk 3ds Max
Autodesk Revit
Google SketchUp 
Interior design",Be an early applicant
Film Production,SoTrue Technologies Private Limited,Pune,"₹ 10,000 - 20,000 /month",3 Months,2 weeks ago,,"Branding
Budget Management
Cinematography
Content Editing
Production Planning
Script Writing
Visual Storytelling",81 applicants
Videography,Tushar Prakash,Delhi,"₹ 5,000 - 16,000 /month",2 Months,2 weeks ago,,"Video Editing
Videography
Video Making",64 applicants
Sales Telecalling ( Trading Application),Ashika Group,Kolkata,"₹ 5,000 - 20,000 /month",3 Months,2 weeks ago,,"Client Relationship
Customer Acquisition
Effective Communication",48 applicants
Content and Social Media Marketing,UC Global Study,"Faridabad, Delhi, Gurgaon, Greater Noida, Noida","₹ 9,000 - 13,000 /month",6 Months,2 weeks ago,,"Adobe Photoshop
Canva
Content Editing
Digital Marketing
Effective Communication
English Proficiency (Spoken)
Instagram Ads
Instagram Marketing
LinkedIn Marketing
Marketing
Market research
Video Editing
Videography
Video Making",145 applicants
Broadcast Journalist,Dofin Tech Private Limited,Gurgaon,"₹ 14,000 - 15,001 /month",2 Months,2 weeks ago,,"Anchoring
English Proficiency (Spoken)
English Proficiency (Written)",72 applicants
Telecalling,Techyguide OPC Private Limited,Bangalore,"₹ 5,000 - 7,000 /month",3 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel",73 applicants
Social Media Marketing,Solvitude,Work from home,"₹ 5,000 - 10,000 /month",2 Months,2 weeks ago,,"Business Development
Business Management
Digital Marketing
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Inside Sales
Lead Generation
MS-Excel
MS-Office
Negotiation
Problem Solving
Sales
Sales Management
Social Media Marketing",239 applicants
UI/UX Design,BLUECS.IN,Work from home,"₹ 2,000 - 10,000 /month",3 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Adobe XD
Figma
Sketch",1000+ applicants
Business Development,Rumi India,Mumbai,"₹ 6,000 - 10,000 /month",6 Months,2 weeks ago,,"Canva
Digital Marketing
Effective Communication
Email Marketing
Market research
MS-Office
WordPress",54 applicants
Graphic Design,Lokpriy,Work from home,"₹ 5,000 - 7,000 /month",6 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Canva
CorelDRAW
Creative Thinking
Figma
UI & UX Design",601 applicants
Corporate Sales,Scalar Tech Media Private Limited,Mumbai,"₹ 8,000 - 12,000 /month",3 Months,2 weeks ago,,"Client Relationship Management (CRM)
Cold Calling
Email Marketing
Lead Generation
MS-Excel
Sales",83 applicants
Graphic Design,Techyguide OPC Private Limited,Bangalore,"₹ 5,000 - 7,000 /month",6 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Canva
UI & UX Design
Video Editing",102 applicants
Business Analyst,Nippetals,Mumbai                                                                (Hybrid),"₹ 10,000 /month",6 Months,2 weeks ago,,"Data Visualization
English Proficiency (Spoken)
MS-Excel
MS-Office
Research and Analytics",948 applicants
Inside Sales,Phonon Communications Private Limited,Vadodara,"₹ 8,000 - 12,000 /month",6 Months,2 weeks ago,,"Client Relationship
Client Relationship Management (CRM)
Cold Calling
Effective Communication
Sales Strategy
Sales Support
Teamwork",35 applicants
Reels Creator,The Trading Fox,Jaipur,"₹ 15,000 - 20,000 /month",6 Months,2 weeks ago,,"Acting
Effective Communication
Interpersonal skills",87 applicants
Campus Ambassador,Parivestra,Work from home,Performance Based,3 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Management
Marketing Strategies 
Time Management",30 applicants
Ecommerce And Digital Marketing,HYPERTEXT MARKETING PRIVATE LIMITED,Delhi,"₹ 6,000 - 8,000 /month",6 Months,2 weeks ago,,"Digital Advertising
Digital Marketing
Facebook Ads
Facebook Marketing
Google AdWords
Google Analytics
Google Workspace
Instagram Marketing
Marketing Campaigns 
MS-Excel
Search Engine Optimization (SEO)
Social Media Marketing",86 applicants
Web Developer (React),CometChat,Work from home,"₹ 10,000 - 15,000 /month",3 Months,2 weeks ago,,"CSS
HTML
JavaScript
React",1000+ applicants
Fashion Stylist,ODN Digital Services Private Limited,Bangalore,"₹ 5,000 - 10,000 /month",3 Months,2 weeks ago,,"Attention to Detail
Creative Thinking
Creativity
Fashion illustration
Fashion Styling",86 applicants
Video Production – Videography,Experifun Educational Services,Bangalore,"₹ 2,000 /month",6 Months,2 weeks ago,,"Adobe Premiere Pro
DaVinci Resolve
Final Cut Pro
Storyboarding
Tamil Proficiency (Spoken)
Tamil Proficiency (Written)
Video Editing
Videography
Visual Storytelling",29 applicants
Content Writing,SwasthyaPro,Work from home,"₹ 1,000 - 1,500 /month",6 Months,2 weeks ago,,"Blogging
Creative Writing
Marketing Strategy
Search Engine Optimization (SEO)",1000+ applicants
Investment Banker,Hrithik Nag,Work from home,"₹ 14,000 - 39,000 /month",4 Months,2 weeks ago,,"Blockchain
English Proficiency (Spoken)
English Proficiency (Written)
Google Sheets
Interpersonal skills
Market Analysis
Networking
Research and Analytics",1000+ applicants
Graphic Design,Sheelaa.com,Bangalore,"₹ 12,000 - 15,000 /month",6 Months,2 weeks ago,,"Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe XD
Canva
Figma",43 applicants
Remote Appointment Setter,Luit Productions,Work from home,"₹ 1,000 /month",6 Months,2 weeks ago,,"Cold Calling
Email Management
English Proficiency (Spoken)
English Proficiency (Written)
Market research",178 applicants
Content and Social Media Marketing,Hrithik Nag,Work from home,"₹ 19,000 - 39,000 /month",4 Months,2 weeks ago,,"Canva
ChatGPT
Effective Communication
Research and Analytics
Social Media Marketing
Video Editing",1000+ applicants
Content and Social Media Marketing,Hrithik Nag,Work from home,"₹ 19,000 - 39,000 /month",4 Months,2 weeks ago,,"Canva
ChatGPT
Effective Communication
Research and Analytics
Social Media Marketing
Video Editing",1000+ applicants
Machine Learning,Factacy.Ai,Gurgaon,"₹ 15,000 /month",3 Months,2 weeks ago,,"Artificial intelligence
Computer Vision
Data Science
Deep Learning
Machine Learning
Natural Language Processing (NLP)
Python",1000+ applicants
Teaching Assistant (In Critical Thinking Course),International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,3 Months,2 weeks ago,,English Proficiency (Written),145 applicants
Business Development (Sales),Jai Shree Jewellers,Jaipur,"₹ 11,000 - 25,000 /month",6 Months,2 weeks ago,,"Market Analysis
Marketing Strategies 
Sales",69 applicants
SEO Link Building and Outreach,Binu Antony,Work from home,"₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,"Email Marketing
Instagram Marketing
Lead Generation
Pinterest Marketing
Search Engine Optimization (SEO)
Social Media Marketing",451 applicants
Academic Writing,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,3 Months,2 weeks ago,,English Proficiency (Written),218 applicants
Digital Marketing,Tax-O-Smart LLP,Mumbai,"₹ 8,000 - 12,000 /month",6 Months,2 weeks ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Written)
Search Engine Optimization (SEO)
Social Media Marketing",129 applicants
Business Development,Energy Alternatives India,Chennai,"₹ 15,000 - 20,000 /month",2 Months,2 weeks ago,,"Business Analysis
Business Development
Market research
Strategy",70 applicants
Architecture,Parabola Architects,"Pune, Mumbai, Maharashtra, Punjab                                                                (Hybrid)","₹ 7,000 - 13,000 /month",4 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
AutoCAD
Google SketchUp 
V-Ray",Be an early applicant
Subject Matter Expert (SME),Unimonks,Delhi,"₹ 6,500 - 13,000 /month",5 Months,2 weeks ago,,"Biology
Chemistry
MS-Word
Physics",117 applicants
Education Journalism,Unimonks,Work from home,"₹ 4,500 - 11,000 /month",4 Months,2 weeks ago,,Anchoring,504 applicants
Film Production,Unimonks,Work from home,"₹ 4,000 - 16,000 /month",3 Months,2 weeks ago,,"Acting
Adobe After Effects
Video Making",257 applicants
YouTube Content Creation,Unimonks,Delhi,"₹ 4,000 - 12,000 /month",3 Months,2 weeks ago,,Anchoring,172 applicants
CUET Exam Expert,Unimonks,Delhi                                                                (Hybrid),"₹ 5,000 - 16,000 /month",4 Months,2 weeks ago,,"Anchoring
Teaching
Team Management",171 applicants
Videography,Brandshark,Bangalore,"₹ 10,000 /month",3 Months,2 weeks ago,,"Adobe After Effects
Adobe Photoshop
Adobe Premiere Pro
Photography
Video Editing
Video Making",Be an early applicant
Content Writing,FOZZIE INC,Work from home,"₹ 10,000 - 25,000 /month",6 Months,2 weeks ago,,"Blogging
Creative Writing
Digital Marketing
English Proficiency (Written)
Search Engine Optimization (SEO)",1000+ applicants
Marketing,Rally Portal LLC,Work from home,"₹ 10,000 - 20,000 /month",3 Months,2 weeks ago,,"Canva
Client Interaction
Data Analytics
Data entry
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
MS-Excel
MS-Office
Research and Analytics
Social Media Marketing",693 applicants
Business Development (Sales),Volks Digital Lab IT Services LLP,Work from home,"₹ 3,000 - 12,000 /month",5 Months,2 weeks ago,,"Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
Sales Management
Sales Strategy",178 applicants
Content and Social Media Marketing,Giftcarnation,Delhi,"₹ 3,000 - 7,000 /month",6 Months,2 weeks ago,,"Blogging
Creative Writing
Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Search Engine Optimization (SEO)
Social Media Marketing",93 applicants
Share Market Trainer,Abhijeet  Ramachandrran,Mumbai,"₹ 6,000 - 7,000 /month",3 Months,2 weeks ago,,"Public Speaking
Self-learning",132 applicants
Business Development (Sales),Ascent Foundation,"Thane, Navi Mumbai, Mumbai","₹ 9,000 - 12,000 /month",6 Months,2 weeks ago,,"Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel",35 applicants
Shopify + SEO Developer,Growify Digital,Delhi,"₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,"Search Engine Optimization (SEO)
Shopify",95 applicants
Business Development – Students From Premium Colleges Only,Voicedots Infotech,Work from home,"₹ 5,000 - 15,000 /month",6 Months,2 weeks ago,,"Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Sales
Self-learning",251 applicants
Backend Development,Bug Aetherium,Work from home,"₹ 1,000 - 1,500 /month",6 Months,2 weeks ago,,"Django
Express.js
Java
MongoDB
Node.js
Python",1000+ applicants
Content Specialist (Resume & Prompt Writing),GetSetResumes.com,Work from home,"₹ 8,000 - 12,000 /month",6 Months,2 weeks ago,,"Content Editing
Content Writing
Prompt Engineering
Proofreading",754 applicants
Telesales_Male,Kayakalp Enterprise,Noida,"₹ 8,000 - 12,000 /month",3 Months,2 weeks ago,,"Effective Communication
Hindi Proficiency (Spoken)
Interpersonal skills
MS-Excel",46 applicants
Client Job Support Associate,Bridge2job,Work from home,"₹ 10,000 - 12,000 /month",6 Months,2 weeks ago,,"Analytical Thinking
Data entry
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Problem Solving
Time Management",831 applicants
Human Resources (HR),First Attempt,Jaipur,"₹ 10,000 - 35,000 /month",3 Months,2 weeks ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",135 applicants
Email Marketing,Web3Task,"Delhi, Greater Noida, Gautam Buddha Nagar, Noida                                                                (Hybrid)","₹ 8,000 - 10,000 /month",3 Months,2 weeks ago,,"A/B Testing
Client Relationship Management (CRM)
Copywriting
Critical thinking
Digital Marketing
Email Management
Email Marketing
Mailchimp
Proofreading
Search Engine Optimization (SEO)
Social Media Marketing
Time Management",309 applicants
Data Entry,FOZZIE INC,Work from home,"₹ 6,000 - 26,000 /month",6 Months,2 weeks ago,,LinkedIn Marketing,1000+ applicants
Sales Consultant,Apna Technologies,Mumbai                                                                (Hybrid),"₹ 5,000 /month",3 Months,2 weeks ago,,"Effective Communication
MS-Excel
MS-Word
Time Management",Be an early applicant
Marketing,Manner & Skill Integrated Services Pvt Ltd,"Thane, Navi Mumbai","₹ 4,000 - 5,000 /month",3 Months,2 weeks ago,,"B2B Sales
Cold Calling
English Proficiency (Spoken)
Sales Strategy",41 applicants
International Business Development,WeDigTech,Jaipur,"₹ 6,000 - 15,000 /month",6 Months,2 weeks ago,,"Canva
English Proficiency (Written)
LinkedIn Marketing
MS-Excel
MS-Office",Be an early applicant
Photography,The Bookwallah Organisation India,"Pune, Mumbai, Bangalore                                                                (Hybrid)",Unpaid,6 Months,2 weeks ago,,"Adaptability
Adobe Photoshop
Attention to Detail
Creative Direction
Image Editing
Photography",42 applicants
Accounts,SKC Financials Services Private Limited,Kolkata,"₹ 6,000 /month",6 Months,2 weeks ago,,"Accounting
Adobe Creative Suite
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
Tally",68 applicants
Graphic Designer,Founders Media,Bangalore                                                                (Hybrid),"₹ 5,000 - 10,000 /month",6 Months,2 weeks ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Photoshop Lightroom CC
Adobe Premiere Pro
CorelDRAW
UI & UX Design
Video Editing",41 applicants
Video Editing/Making,Swift Technologies,Coimbatore,"₹ 2,000 - 5,000 /month",3 Months,2 weeks ago,,"Adobe Photoshop
Adobe Premiere Pro
Capcut
Final Cut Pro
Video Editing",43 applicants
Content and Social Media Marketing,SAM-HRPO,Mumbai,"₹ 8,000 - 12,000 /month",6 Months,2 weeks ago,,"Canva
Content Writing
Digital Marketing
Social Media Marketing",55 applicants
Videography,Healux International Private Limited,Bangalore,"₹ 15,000 - 20,000 /month",1 Month,2 weeks ago,,"Adobe After Effects
Adobe Photoshop
Adobe Premiere Pro
Photography
Video Editing
Video Making",203 applicants
Market Research & Outreach Manager,Galenta Interiors,Hyderabad                                                                (Hybrid),"₹ 6,000 /month",3 Months,2 weeks ago,,"Canva
Digital Advertising
MS-Office",Be an early applicant
Architecture,Collabtec Design Build Private Limited,"Thane, Mumbai","₹ 9,000 - 10,000 /month",6 Months,2 weeks ago,,"AutoCAD
Autodesk Revit
Google SketchUp 
MS-Office",Be an early applicant
Social Media Marketing,Flavors4All,Mumbai,"₹ 10,000 - 15,000 /month",6 Months,2 weeks ago,,".NET
Adobe Dreamweaver
Adobe Fireworks
Autodesk 3ds Max
Creative Writing
Digital Marketing
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",89 applicants
Merchandising,Swaraaj Fashions Private Limited,Mumbai,"₹ 5,000 - 5,001 /month",3 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop",Be an early applicant
Social Media Marketing,Olympia Industries Limited,Mumbai,"₹ 10,000 - 10,001 /month",6 Months,2 weeks ago,,"Digital Marketing
Search Engine Marketing (SEM)
Social Media Marketing",232 applicants
Growth and Marketing,RoyalSpike Ventures LLP,Work from home,"₹ 8,500 - 14,500 /month",3 Months,2 weeks ago,,"Client Relationship Management (CRM)
Content Writing
Copywriting
Creative Thinking
Creative Writing
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
Leadership
Lead Generation
Market research
MS-Excel
Negotiations
Performance Marketing
Problem Solving
Sales
Time Management
Written Communication",52 applicants
Outreach and Marketing Manager,RoyalSpike Ventures LLP,Work from home,"₹ 7,500 - 14,500 /month",3 Months,2 weeks ago,,"Copywriting
Creative Writing
Digital Advertising
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
Marketing Strategy
Market research
MS-Excel
Performance Marketing
Time Management
Written Communication",38 applicants
Sales Intern,MatchLog Solutions Private Limited,Mumbai,"₹ 5,000 - 8,000 /month",3 Months,2 weeks ago,,"Client Relationship Management (CRM)
Cold Calling
Collaboration
Effective Communication
Negotiations
Sales Support",Be an early applicant
Fashion Design And Merchandising,Poonam Mohta,Bangalore,"₹ 15,000 - 25,000 /month",3 Months,2 weeks ago,,"Adobe Illustrator
Adobe Photoshop
Fashion Designing",74 applicants
Accounting & Tally,Satya Marketing,Gwalior,"₹ 8,000 - 18,000 /month",6 Months,2 weeks ago,,"Accounting
Financial Analysis
MS-Excel
Tally",99 applicants
Business Development (Sales),Biz Hero India Private Limited (NowPurchase),Bhutan (Bhutan),"₹ 15,000 - 20,000 /month",3 Months,2 weeks ago,,"Interpersonal skills
Market research
Sales",Be an early applicant
Apparel Merchandising,Darshan Dresses Private Limited,Mumbai,"₹ 5,000 - 10,000 /month",6 Months,2 weeks ago,,MS-Excel,Be an early applicant
Business Development (Sales),OyeLabs,Work from home,"₹ 10,000 - 20,000 /month",6 Months,2 weeks ago,,"Business Development
Creative Thinking
Email Management
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Negotiation",256 applicants
Social Media Marketing,Kailasa Analytics And Services Private Limited,Mumbai,"₹ 5,000 /month",2 Months,2 weeks ago,,"Digital Marketing
Email Marketing
Facebook Marketing
Instagram Marketing
Social Media Marketing",35 applicants
"Lead Generation, CRM & Marketing Manager",NATUREGREEN EXPORTS,Rajkot,"₹ 6,300 - 10,000 /month",2 Months,2 weeks ago,,"Artificial intelligence
Branding
Business Development
Canva
Cold Calling
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
LinkedIn Marketing
Marketing
Poster Design
Social Media Marketing",Be an early applicant
Industrial Automation & Robotics,Levon Homes Private Limited,Bhiwadi,"₹ 20,000 - 30,000 /month",3 Months,2 weeks ago,,"C Programming
Python",190 applicants
Architecture,KEYSTONE DESIGN STUDIOS,Hyderabad,"₹ 6,000 - 7,000 /month",6 Months,2 weeks ago,,"Adobe Photoshop
AutoCAD
Google SketchUp 
Lumion",Be an early applicant
Policy Law And Governance,Yuktam Legal,Delhi,"₹ 6,000 - 7,500 /month",6 Months,2 weeks ago,,"Creative Thinking
English Proficiency (Written)
Problem Solving",58 applicants
Graphic Design,NETZSCH Technologies India,Chennai,"₹ 2,000 /month",3 Months,2 weeks ago,,"Adobe Illustrator
Adobe InDesign
Canva",33 applicants
Field Sales,Artklim,Noida,"₹ 8,000 - 10,000 /month",6 Months,2 weeks ago,,"Effective Communication
Field Sales
Sales",Be an early applicant
"Creative Video Editor (Reels, Shorts, Podcasts, Promos)",Dofin Tech Private Limited,Gurgaon,"₹ 14,000 - 15,001 /month",2 Months,2 weeks ago,,"Adobe Premiere Pro
AI Image Generation
AI Video Generation
AI Voiceover
Artificial intelligence
Capcut
Creative Direction
Creative Thinking
Digital Advertising
Filmora
Instagram Ads
Optimization
Video Editing
Video Making
YouTube Ads",112 applicants
Data Analytics,Goodera,Bangalore,"₹ 15,000 - 20,000 /month",3 Months,2 weeks ago,,"Data Analytics
Data Science
MS-Excel
Power BI",1000+ applicants
